Triangle Index,Power Density / Wm-2,Error / Wm-2
0,7.734769384936464e-05,2.4885170690824476e-06
1,0.0002275419755355654,4.972092924553262e-06
2,7.700751503166744e-05,2.625615235040283e-06
3,9.456488697048637e-05,2.9409270117089546e-06
4,0.00015959268107115863,3.4620222264252385e-06
5,0.0002584308300997105,5.616109127254325e-06
6,0.00016475010208027668,3.637163623861168e-06
7,0.00017457570833471342,3.906451005429423e-06
8,0.0001963126736353173,4.330803883371407e-06
9,0.00016433430780089564,3.6635535807987264e-06
10,0.00016696907948587014,3.6984185505794732e-06
11,0.00017208904309246243,3.746494676129715e-06
12,0.00017216592495266869,3.883617035792266e-06
13,0.00018825740263971987,4.108205533378566e-06
14,0.000192727005242526,4.200895204900527e-06
15,0.0001944460965668169,4.277947132869471e-06
16,0.00021353609070866195,4.641482778476277e-06
17,0.00020672166859478033,4.5402303421001535e-06
18,0.00022079447422667896,4.858602701781234e-06
19,0.00022514618838188682,4.919768278268083e-06
20,0.00023847824925534548,5.167057696021937e-06
21,8.13829426449433e-05,3.002368084142712e-06
22,0.0003220765508088655,1.094291628503729e-05
23,9.786101658952219e-05,3.903757472670909e-06
24,9.979468670885916e-05,3.7810502380383573e-06
25,0.00012742521876842123,2.925967013071215e-06
26,0.00018821599082703564,5.430910594534078e-06
27,0.00026880385684022407,6.113859866451996e-06
28,0.00029589599282128884,7.483201964757904e-06
29,0.00033099040474019375,9.295894605869263e-06
30,0.0002679966148395629,6.088193294174832e-06
31,0.0002814770415912142,6.286634852091531e-06
32,0.00029065006983797415,6.296159047660322e-06
33,0.00030208027878623355,7.47712012645194e-06
34,0.0003057330160888098,7.588232117545808e-06
35,0.0003133531043348815,7.677249175910626e-06
36,0.0002999125519181625,9.015681108876836e-06
37,0.00034075550616128464,9.51388582552028e-06
38,0.0003510945562030221,9.608032141065161e-06
39,0.0003224295474826063,1.0721253040332704e-05
40,0.00035009901126283147,1.127065961763551e-05
41,0.00034247651375981917,1.138939528438205e-05
42,8.195033843023642e-05,2.508138203737412e-06
43,8.301115467702162e-05,2.656487676829035e-06
44,7.898834968271758e-05,2.695968277581793e-06
45,7.365243045403297e-05,2.6365641489481363e-06
46,0.00023688683556580834,5.140100782742423e-06
47,8.128777856206731e-05,2.733574311669649e-06
48,7.773915279787531e-05,2.6360344722779707e-06
49,8.049804889165238e-05,2.5046876139406028e-06
50,8.133606283357363e-05,2.510826671765683e-06
51,9.604837528084073e-05,3.0192586016159887e-06
52,0.0001541629212863612,3.3838554659710217e-06
53,0.0001528304848729276,3.3674090537856254e-06
54,0.0001498639798058693,3.362935194627069e-06
55,0.00015016306921548334,3.317034279400957e-06
56,0.0002625466059164757,5.740884061554663e-06
57,0.00027222881371573917,5.928996553642221e-06
58,0.00025196952303391506,5.633525568070496e-06
59,0.00025243120247908787,5.589440749608678e-06
60,0.00016364487661392512,3.6988015363052386e-06
61,0.00018116174395714678,4.035709285781096e-06
62,0.00020437273695780346,4.530803077222424e-06
63,0.0001732860176976616,3.789713486067747e-06
64,0.0001744496527581475,3.8091561487936636e-06
65,0.00017494962209609334,3.830391479059189e-06
66,0.0001952964636396528,4.243455797858754e-06
67,0.00019582459570789622,4.290199415351228e-06
68,0.00019413912291634165,4.220082832998047e-06
69,0.00020994720308211123,4.555470422554953e-06
70,0.0002127599037810158,4.611111388036143e-06
71,0.0002047785661197265,4.551915592579995e-06
72,0.00023937279780865994,5.2082196928522475e-06
73,0.00024050079151786573,5.272781895948672e-06
74,0.0002403408006315703,5.206512340018724e-06
75,8.466567481204658e-05,2.8983453329491796e-06
76,8.737126364328347e-05,3.3802387912483666e-06
77,9.648971297627224e-05,4.501921750804234e-06
78,9.0137726048109e-05,3.904632498499295e-06
79,0.000317957555107966,1.1072057370733528e-05
80,0.0001026911883480611,4.524798377438995e-06
81,8.628307662645221e-05,3.4165802292302695e-06
82,8.355263533089685e-05,2.867677026849474e-06
83,8.285584487336027e-05,3.012322919431708e-06
84,0.00011740936745608716,4.813674940271126e-06
85,0.00012822665851932563,2.9563043810274613e-06
86,0.00013209100725129522,2.9583671132271555e-06
87,0.00012825218341335404,2.9331951891141766e-06
88,0.00012653680551448824,2.8929320995751857e-06
89,0.00018412591380289386,5.340102707034984e-06
90,0.00019892685353851026,5.477619640100547e-06
91,0.00018367483981449685,5.409366781691716e-06
92,0.00018321817564126623,5.442922110047185e-06
93,0.00027001480987672304,6.443451267044173e-06
94,0.00030479706752618315,7.964345049732275e-06
95,0.0003059977719907184,9.628153356815092e-06
96,0.0002786547048602617,6.524246261545451e-06
97,0.0003016967867538788,6.699804013181159e-06
98,0.0002870081129094652,6.639318347630172e-06
99,0.00029531463213710934,7.991162534738215e-06
100,0.000337035591985784,8.228308890949343e-06
101,0.0003229869705081813,8.178920897477085e-06
102,0.00032461226723641643,9.894687545287881e-06
103,0.00034943385370017296,1.0262869518679836e-05
104,0.00034009278675693435,1.0138930842075632e-05
105,0.00034723715555721004,1.1325215427662453e-05
106,0.00034476249121710234,1.1786172437160546e-05
107,0.0003338074330104277,1.1690939971113754e-05
